Health Center Name,City,State,Status
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC",BAYOU LABATRE,AL,Invited
ALABAMA REGIONAL MEDICAL SERVICES,BIRMINGHAM,AL,Invited
"CHRIST HEALTH CENTER, INC.",BIRMINGHAM,AL,Invited
CAHABA MEDICAL CARE FOUNDATION,CENTREVILLE,AL,Participating
QUALITY OF LIFE HEALTH SERVICES INC,GADSDEN,AL,Participating
AIDS ACTION COALITION OF HUNTSVILLE,HUNTSVILLE,AL,Invited
"ALTAPOINTE HEALTH SYSTEMS, INC.",MOBILE,AL,Participating
"FRANKLIN PRIMARY HEALTH CENTER, INC.",MOBILE,AL,Participating
MOBILE COUNTY BOARD OF HEALTH,MOBILE,AL,Participating
"HEALTH SERVICES, (INC)",MONTGOMERY,AL,Invited
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",SCOTTSBORO,AL,Invited
"RURAL HEALTH MEDICAL PROGRAM, INC.",SELMA,AL,Invited
SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,TROY,AL,Invited
"WHATLEY HEALTH SERVICES, INC.",TUSCALOOSA,AL,Invited
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",ANCHORAGE,AK,Invited
"EASTERN ALEUTIAN TRIBES, INC.",ANCHORAGE,AK,Participating
SOUTHCENTRAL FOUNDATION,ANCHORAGE,AK,Invited
BETHEL FAMILY CLINIC,BETHEL,AK,Invited
YUKON-KUSKOKWIM HEALTH CORPORATION,BETHEL,AK,Invited
NATIVE VILLAGE OF EYAK,CORDOVA,AK,Participating
BRISTOL BAY AREA HEALTH CORPORATION,DILLINGHAM,AK,Invited
DENA' NENA' HENASH,FAIRBANKS,AK,Invited
COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS,FORT YUKON,AK,Invited
KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,Invited
MANIILAQ ASSOCIATION,KOTZEBUE,AK,Invited
NORTON SOUND HEALTH CORPORATION,NOME,AK,Invited
SELDOVIA VILLAGE TRIBE,SELDOVIA,AK,Invited
YAKUTAT TLINGIT TRIBE,YAKUTAT,AK,Invited
DEPARTMENT OF HEALTH,PAGO PAGO,AS,Invited
"SUN LIFE FAMILY HEALTH CENTER, INC",CASA GRANDE,AZ,Participating
"CHIRICAHUA COMMUNITY HEALTH CENTERS, INC.",DOUGLAS,AZ,Invited
"NORTH COUNTRY HEALTHCARE, INC.",FLAGSTAFF,AZ,Invited
