Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC",BAYOU LABATRE,AL,"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC, BAYOU LABATRE, AL",Accordia Health - Mobile County - Bayou La Batre (Family Medical Care),"13833 Tapia Ave, Bayou La Batre, AL 36509, USA",(251) 824-8320,30.4034647,-88.247112
ALABAMA REGIONAL MEDICAL SERVICES,BIRMINGHAM,AL,"ALABAMA REGIONAL MEDICAL SERVICES, BIRMINGHAM, AL",Alabama Regional Medical Services,"2817 30th Ave N, Birmingham, AL 35207, USA",(205) 407-9696,33.5526409,-86.8140798
"CHRIST HEALTH CENTER, INC.",BIRMINGHAM,AL,"CHRIST HEALTH CENTER, INC., BIRMINGHAM, AL",Christ Health - Woodlawn,"5720 1st Ave S, Birmingham, AL 35212, USA",(205) 380-9455,33.5415957,-86.7492933
CAHABA MEDICAL CARE FOUNDATION,CENTREVILLE,AL,"CAHABA MEDICAL CARE FOUNDATION, CENTREVILLE, AL",Cahaba Medical Care - Centreville,"405 Belcher St, Centreville, AL 35042, USA",(205) 926-2992,32.9503292,-87.147279
QUALITY OF LIFE HEALTH SERVICES INC,GADSDEN,AL,"QUALITY OF LIFE HEALTH SERVICES INC, GADSDEN, AL",Quality of Life Health Complex,"1411 Piedmont Cutoff Hwy, Gadsden, AL 35903, USA",(256) 492-0131,33.9984027,-85.9559855
AIDS ACTION COALITION OF HUNTSVILLE,HUNTSVILLE,AL,"AIDS ACTION COALITION OF HUNTSVILLE, HUNTSVILLE, AL",Thrive Alabama,"600 St Clair Ave SW bldg 3, Huntsville, AL 35801, USA",(256) 536-4700,34.7226273,-86.5873927
"ALTAPOINTE HEALTH SYSTEMS, INC.",MOBILE,AL,"ALTAPOINTE HEALTH SYSTEMS, INC., MOBILE, AL",AltaPointe Health Systems Business Office,"5750-B, Southland Dr, Mobile, AL 36693, USA",(251) 450-5916,30.6242777,-88.1766041
"FRANKLIN PRIMARY HEALTH CENTER, INC.",MOBILE,AL,"FRANKLIN PRIMARY HEALTH CENTER, INC., MOBILE, AL","Franklin Primary Health Center, Inc.","1303 Dr Martin Luther King Jr Ave, Mobile, AL 36603, USA",(251) 432-4117,30.6995835,-88.0656646
MOBILE COUNTY BOARD OF HEALTH,MOBILE,AL,"MOBILE COUNTY BOARD OF HEALTH, MOBILE, AL",MOBILE COUNTY HEALTH DEPARTMENT - MCHD,"251 N Bayou St, Mobile, AL 36603, USA",(251) 690-8158,30.691761,-88.054726
"HEALTH SERVICES, (INC)",MONTGOMERY,AL,"HEALTH SERVICES, (INC), MONTGOMERY, AL",Health Services Inc,"100 E Vandiver Blvd, Montgomery, AL 36110, USA",(334) 832-4338,32.4172346,-86.2838808
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",SCOTTSBORO,AL,"NORTHEAST ALABAMA HEALTH SERVICES, INC., SCOTTSBORO, AL","Northeast Alabama Health Services, Inc","309 Taylor St, Scottsboro, AL 35768, USA",(256) 259-5313,34.6637184,-86.0405257
"RURAL HEALTH MEDICAL PROGRAM, INC.",SELMA,AL,"RURAL HEALTH MEDICAL PROGRAM, INC., SELMA, AL","Rural Health Medical Program, Inc.","101 Park Place, Selma, AL 36701, USA",(334) 874-7428,32.4274261,-87.0526859
SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,TROY,AL,"SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES, TROY, AL",Southeast Alabama Rural Health Associates,"1414 Elba Hwy, Troy, AL 36079, USA",(334) 670-6726,31.7652172,-85.9605539
"WHATLEY HEALTH SERVICES, INC.",TUSCALOOSA,AL,"WHATLEY HEALTH SERVICES, INC., TUSCALOOSA, AL",Maude L. Whatley Health Center,"2731 Martin Luther King Jr Blvd, Tuscaloosa, AL 35401, USA",(205) 758-6647,33.1868174,-87.5767932
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",ANCHORAGE,AK,"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC., ANCHORAGE, AK",Aleutian Pribilof Islands Association,"1131 E International Airport Rd, Anchorage, AK 99518, USA",(907) 276-2700,61.1743131,-149.8615828
"EASTERN ALEUTIAN TRIBES, INC.",ANCHORAGE,AK,"EASTERN ALEUTIAN TRIBES, INC., ANCHORAGE, AK",Eastern Aleutian Tribes Inc,"3380 C St #100, Anchorage, AK 99503, USA",(907) 277-1440,61.1898406,-149.8871978
SOUTHCENTRAL FOUNDATION,ANCHORAGE,AK,"SOUTHCENTRAL FOUNDATION, ANCHORAGE, AK",Southcentral Foundation,"Southcentral Foundation Administration Building, 4501 Diplomacy Dr, Anchorage, AK 99508, USA",(907) 729-4955,61.1823417,-149.795892
BETHEL FAMILY CLINIC,BETHEL,AK,"BETHEL FAMILY CLINIC, BETHEL, AK",Bethel Family Clinic,"631 4th Ave, Bethel, AK 99559, USA",(907) 543-3773,60.7964324,-161.7623748
YUKON-KUSKOKWIM HEALTH CORPORATION,BETHEL,AK,"YUKON-KUSKOKWIM HEALTH CORPORATION, BETHEL, AK",Yukon Kuskokwim Health Corporation,"185 Hoffman Rd, Bethel, AK 99559, USA",(907) 543-5158,60.7831733,-161.7969814
NATIVE VILLAGE OF EYAK,CORDOVA,AK,"NATIVE VILLAGE OF EYAK, CORDOVA, AK",Native Village of Eyak,"110 Nicholoff Way, Cordova, AK 99574, USA",(907) 424-7738,60.5426856,-145.7646595
BRISTOL BAY AREA HEALTH CORPORATION,DILLINGHAM,AK,"BRISTOL BAY AREA HEALTH CORPORATION, DILLINGHAM, AK",Bristol Bay Area Health Corporation,"6000 Kanakanak Rd, Dillingham, AK 99576, USA",(800) 478-5201,59.0006067,-158.5368215
DENA' NENA' HENASH,FAIRBANKS,AK,"DENA' NENA' HENASH, FAIRBANKS, AK",Tanana Chiefs Conference,"122 1st Ave, Fairbanks, AK 99701, USA",(907) 452-8251,64.8440859,-147.7106986
COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS,FORT YUKON,AK,"COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS, FORT YUKON, AK",Council-Athabascan Tribal,"101 Main St, Fort Yukon, AK 99740, USA",(907) 662-2587,66.56735,-145.2513402
KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,"KODIAK AREA NATIVE ASSOCIATION, KODIAK, AK",Kodiak Area Native Association-KANA,"3449 E Rezanof Dr, Kodiak, AK 99615, USA",(907) 486-9800,57.8117868,-152.3550953
MANIILAQ ASSOCIATION,KOTZEBUE,AK,"MANIILAQ ASSOCIATION, KOTZEBUE, AK",Maniiḷaq Health Center,"436 5th Ave, Kotzebue, AK 99752, USA",(907) 442-3321,66.8961237,-162.5868333
NORTON SOUND HEALTH CORPORATION,NOME,AK,"NORTON SOUND HEALTH CORPORATION, NOME, AK",Norton Sound Health Corporation,"1000 Greg Kruschek Avenue, Nome, AK 99762, USA",(907) 443-3311,64.5000585,-165.387086
SELDOVIA VILLAGE TRIBE,SELDOVIA,AK,"SELDOVIA VILLAGE TRIBE, SELDOVIA, AK",Seldovia Village Tribe,"206 Main St, Seldovia, AK 99663, USA",(907) 234-7898,59.4370189,-151.7119381
YAKUTAT TLINGIT TRIBE,YAKUTAT,AK,"YAKUTAT TLINGIT TRIBE, YAKUTAT, AK",Yakutat Tlingit Tribe,"716 Ocean Cape Rd, Yakutat, AK 99689, USA",(907) 784-3238,59.5440109,-139.7318434
