City,Health Center Name,State,address,combinedKey,contact,lat,lon,name
BAYOU LABATRE,"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC",AL,"13833 Tapia Ave, Bayou La Batre, AL 36509, USA","BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC, BAYOU LABATRE, AL",(251) 824-8320,30.4034647,-88.247112,Accordia Health - Mobile County - Bayou La Batre (Family Medical Care)
BIRMINGHAM,ALABAMA REGIONAL MEDICAL SERVICES,AL,"2817 30th Ave N, Birmingham, AL 35207, USA","ALABAMA REGIONAL MEDICAL SERVICES, BIRMINGHAM, AL",(205) 407-9696,33.5526409,-86.8140798,Alabama Regional Medical Services
BIRMINGHAM,"CHRIST HEALTH CENTER, INC.",AL,"5720 1st Ave S, Birmingham, AL 35212, USA","CHRIST HEALTH CENTER, INC., BIRMINGHAM, AL",(205) 380-9455,33.5415957,-86.74929329999998,Christ Health - Woodlawn
CENTREVILLE,CAHABA MEDICAL CARE FOUNDATION,AL,"405 Belcher St, Centreville, AL 35042, USA","CAHABA MEDICAL CARE FOUNDATION, CENTREVILLE, AL",(205) 926-2992,32.9503292,-87.147279,Cahaba Medical Care - Centreville
GADSDEN,QUALITY OF LIFE HEALTH SERVICES INC,AL,"1411 Piedmont Cutoff Hwy, Gadsden, AL 35903, USA","QUALITY OF LIFE HEALTH SERVICES INC, GADSDEN, AL",(256) 492-0131,33.9984027,-85.9559855,Quality of Life Health Complex
HUNTSVILLE,AIDS ACTION COALITION OF HUNTSVILLE,AL,"600 St Clair Ave SW bldg 3, Huntsville, AL 35801, USA","AIDS ACTION COALITION OF HUNTSVILLE, HUNTSVILLE, AL",(256) 536-4700,34.7226273,-86.58739270000002,Thrive Alabama
MOBILE,"ALTAPOINTE HEALTH SYSTEMS, INC.",AL,"5750-B, Southland Dr, Mobile, AL 36693, USA","ALTAPOINTE HEALTH SYSTEMS, INC., MOBILE, AL",(251) 450-5916,30.6242777,-88.17660409999998,AltaPointe Health Systems Business Office
MOBILE,"FRANKLIN PRIMARY HEALTH CENTER, INC.",AL,"1303 Dr Martin Luther King Jr Ave, Mobile, AL 36603, USA","FRANKLIN PRIMARY HEALTH CENTER, INC., MOBILE, AL",(251) 432-4117,30.69958350000001,-88.06566459999998,"Franklin Primary Health Center, Inc."
MOBILE,MOBILE COUNTY BOARD OF HEALTH,AL,"251 N Bayou St, Mobile, AL 36603, USA","MOBILE COUNTY BOARD OF HEALTH, MOBILE, AL",(251) 690-8158,30.691761,-88.054726,MOBILE COUNTY HEALTH DEPARTMENT - MCHD
MONTGOMERY,"HEALTH SERVICES, (INC)",AL,"100 E Vandiver Blvd, Montgomery, AL 36110, USA","HEALTH SERVICES, (INC), MONTGOMERY, AL",(334) 832-4338,32.4172346,-86.28388079999998,Health Services Inc
SCOTTSBORO,"NORTHEAST ALABAMA HEALTH SERVICES, INC.",AL,"309 Taylor St, Scottsboro, AL 35768, USA","NORTHEAST ALABAMA HEALTH SERVICES, INC., SCOTTSBORO, AL",(256) 259-5313,34.6637184,-86.0405257,"Northeast Alabama Health Services, Inc"
SELMA,"RURAL HEALTH MEDICAL PROGRAM, INC.",AL,"101 Park Place, Selma, AL 36701, USA","RURAL HEALTH MEDICAL PROGRAM, INC., SELMA, AL",(334) 874-7428,32.4274261,-87.0526859,"Rural Health Medical Program, Inc."
TROY,SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,AL,"1414 Elba Hwy, Troy, AL 36079, USA","SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES, TROY, AL",(334) 670-6726,31.7652172,-85.96055390000002,Southeast Alabama Rural Health Associates
TUSCALOOSA,"WHATLEY HEALTH SERVICES, INC.",AL,"2731 Martin Luther King Jr Blvd, Tuscaloosa, AL 35401, USA","WHATLEY HEALTH SERVICES, INC., TUSCALOOSA, AL",(205) 758-6647,33.1868174,-87.5767932,Maude L. Whatley Health Center
