Health Center Name,City,State,Status
DEPARTMENT OF HEALTH,PAGO PAGO,AS,Invited
MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,PHOENIX,AZ,Invited
"EL PROYECTO DEL BARRIO, INC.",ARLETA,CA,Invited
AVENAL COMMUNITY HEALTH CENTER,AVENAL,CA,Invited
"CLINICAS DE SALUD DEL PUEBLO, INC.",BRAWLEY,CA,Invited
NEIGHBORHOOD HEALTHCARE,ESCONDIDO,CA,Invited
"SOLANO, COUNTY OF",FAIRFIELD,CA,Invited
LIVINGSTON COMMUNITY HEALTH,LIVINGSTON,CA,Invited
"CONTRA COSTA , COUNTY OF",MARTINEZ,CA,Invited
GOLDEN VALLEY HEALTH CENTERS,MERCED,CA,Invited
"ALAMEDA, COUNTY OF",OAKLAND,CA,Invited
"MONTEREY, COUNTY OF",SALINAS,CA,Invited
NORTH COUNTY HEALTH PROJECT INCORPORATED,SAN MARCOS,CA,Invited
"SANTA BARBARA, COUNTY OF",SANTA BARBARA,CA,Invited
SANTA ROSA COMMUNITY HEALTH CENTERS,SANTA ROSA,CA,Invited
"COMMUNITY MEDICAL CENTERS, INC.",STOCKTON,CA,Invited
ALTURA CENTERS FOR HEALTH,TULARE,CA,Invited
"MENDOCINO COMMUNITY HEALTH CLINIC, INC.",UKIAH,CA,Invited
AMPLA HEALTH,YUBA CITY,CA,Invited
POHNPEI COMMUNITY HEALTH CENTRE,POHNPEI,FM,Invited
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,HAGATNA,GU,Invited
KALIHI PALAMA HEALTH CENTER,HONOLULU,HI,Invited
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited
UNIVERSITY OF ILLINOIS,CHICAGO,IL,Invited
PRIMARY HEALTH SERVICES CENTER,MONROE,LA,Invited
"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,INC.",NEW BEDFORD,MA,Invited
"CARING HEALTH CENTER, INC.",SPRINGFIELD,MA,Invited
MINISTRY OF HEALTH IN THE REPUBLIC OF THE MARSHALL ISLANDS,EBEYE,MH,Invited
DETROIT HEALTH CARE FOR THE HOMELESS,DETROIT,MI,Invited
"WELLNESS PLAN, THE",DETROIT,MI,Invited
"HAMILTON COMMUNITY HEALTH NETWORK, INC.",FLINT,MI,Invited
"INGHAM, COUNTY OF",LANSING,MI,Invited
"KAGMAN COMMUNITY HEALTH CENTRE, INC",SAIPAN,MP,Invited
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",HATTIESBURG,MS,Invited
"NEWARK COMMUNITY HEALTH CENTERS, INC.",NEWARK,NJ,Invited
COMMUNITY HEALTH ALLIANCE,RENO,NV,Invited
BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION,BROOKLYN,NY,Invited
CARE FOR THE HOMELESS,NEW YORK,NY,Invited
"COMMUNITY HEALTHCARE NETWORK, INC.",NEW YORK,NY,Invited
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NEW YORK,NY,Invited
"PROJECT RENEWAL, INC.",NEW YORK,NY,Invited
CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA,CIDRA,PR,Invited
"NEOMED CENTER, INC.",GURABO,PR,Invited
REPUBLIC OF PALAU,PALAU,PW,Invited
"HOPEHEALTH, INC.",FLORENCE,SC,Invited
DALLAS COUNTY HOSPITAL DISTRICT,DALLAS,TX,Invited
HARRIS HEALTH SYSTEM,HOUSTON,TX,Invited
"HEART OF TEXAS COMMUNITY HEALTH CENTER, INC.",WACO,TX,Invited
"GREATER PRINCE WILLIAM AREA COMMUNITY HEALTH CENTER, INC.",WOODBRIDGE,VA,Invited
COLUMBIA VALLEY COMMUNITY HEALTH,WENATCHEE,WA,Invited
"COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC.",CASPER,WY,Invited
"EASTERN ALEUTIAN TRIBES, INC.",ANCHORAGE,AK,Participating
CAHABA MEDICAL CARE FOUNDATION,CENTREVILLE,AL,Participating
QUALITY OF LIFE HEALTH SERVICES INC,GADSDEN,AL,Participating
"ST. FRANCIS HOUSE NWA, INC.",SPRINGDALE,AR,Participating
"SUN LIFE FAMILY HEALTH CENTER, INC",CASA GRANDE,AZ,Participating
