Health Center Name,City,State,Status,address,phone,lon,lat
"BAYOU LA BATRE AREA HEALTH DEVELOPMENT BOARD, INC",BAYOU LABATRE,AL,Invited,,,,
ALABAMA REGIONAL MEDICAL SERVICES,BIRMINGHAM,AL,Invited,,,,
"CHRIST HEALTH CENTER, INC.",BIRMINGHAM,AL,Invited,,,,
CAHABA MEDICAL CARE FOUNDATION,CENTREVILLE,AL,Participating,,,,
QUALITY OF LIFE HEALTH SERVICES INC,GADSDEN,AL,Participating,,,,
AIDS ACTION COALITION OF HUNTSVILLE,HUNTSVILLE,AL,Invited,,,,
"ALTAPOINTE HEALTH SYSTEMS, INC.",MOBILE,AL,Invited,,,,
"FRANKLIN PRIMARY HEALTH CENTER, INC.",MOBILE,AL,Invited,,,,
MOBILE COUNTY BOARD OF HEALTH,MOBILE,AL,Invited,,,,
"HEALTH SERVICES, (INC)",MONTGOMERY,AL,Invited,,,,
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",SCOTTSBORO,AL,Invited,,,,
"RURAL HEALTH MEDICAL PROGRAM, INC.",SELMA,AL,Invited,,,,
SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,TROY,AL,Invited,,,,
"WHATLEY HEALTH SERVICES, INC.",TUSCALOOSA,AL,Invited,,,,
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",ANCHORAGE,AK,Invited,,,,
"EASTERN ALEUTIAN TRIBES, INC.",ANCHORAGE,AK,Participating,,,,
SOUTHCENTRAL FOUNDATION,ANCHORAGE,AK,Invited,,,,
BETHEL FAMILY CLINIC,BETHEL,AK,Invited,"4th Ave & Main St, Bethel, AK",907-543-3773,-161.7624499,60.79608003
YUKON-KUSKOKWIM HEALTH CORPORATION,BETHEL,AK,Invited,,,,
NATIVE VILLAGE OF EYAK,CORDOVA,AK,Invited,,,,
BRISTOL BAY AREA HEALTH CORPORATION,DILLINGHAM,AK,Invited,,,,
DENA' NENA' HENASH,FAIRBANKS,AK,Invited,,,,
COUNCIL OF ATHABASCAN TRIBAL GOVERNMENTS,FORT YUKON,AK,Invited,,,,
KODIAK AREA NATIVE ASSOCIATION,KODIAK,AK,Invited,"3449 E Rezanof Dr, Kodiak, AK",907-486-9870,-152.355082,57.81176899
MANIILAQ ASSOCIATION,KOTZEBUE,AK,Invited,,,,
NORTON SOUND HEALTH CORPORATION,NOME,AK,Invited,,,,
SELDOVIA VILLAGE TRIBE,SELDOVIA,AK,Invited,,,,
YAKUTAT TLINGIT TRIBE,YAKUTAT,AK,Invited,,,,
