,fid,hospital_name,address,city,zip,placekey,hospital_pk,lat,lon
0,0,Alexandria Emergency Hospital,5900 Coliseum Blvd,Alexandria,71303,22b@8dx-9df-td9,ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,31.294892660887577,-92.51416567175264
1,1,Elite Medical Center,150 E Harmon Ave,Las Vegas,89109,222@5yv-j89-wff,f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4,36.109299464044156,-115.16536083842685
2,2,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,36067,222@8gm-zc8-s5z,010108,32.46441523271229,-86.45186926629823
3,3,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,36535,222@8f3-jcc-2rk,010083,30.426366051027696,-87.68457884635949
4,4,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,36532,22c@8f3-p2w-5mk,010100,30.518894065818337,-87.88907185819359
5,5,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,36507,224@8f3-kjj-sh5,010129,30.903253734901394,-87.78521735896251
6,6,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,36027,222@8gn-pn9-mzf,010069,31.888205377744672,-85.15626376886644
7,7,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,35042,222@8gn-8mh-btv,010058,32.95116329017493,-87.14663847219103
8,8,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,35121,222@8gm-rp7-7yv,011305,33.93257449942511,-86.4944603231103
9,9,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,36089,222@8gn-m9b-6tv,010110,32.14671421219533,-85.71271077964845
10,10,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,GREENVILLE,36037,222@8gn-4dn-rx5,010150,31.829780723068325,-86.64713977674967
11,11,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,36201,224@8gm-v8k-ysq,010038,33.66794792458542,-85.82509298587814
12,12,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR",ANNISTON,36202,222@8gm-v8m-v4v,012011,33.65638707284875,-85.82352724156856
13,13,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,36207,222@8gm-v8m-v4v,010078,33.65638707284875,-85.82352724156856
14,14,EAMC - LANIER,4800 48TH STREET,VALLEY,36854,222@8gn-kbk-fj9,010175,32.82461805397871,-85.16903484647244
15,15,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,35960,222@8gm-pmm-45f,010022,34.162143422585785,-85.65177160463267
16,16,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,35045,222@8gk-xkn-fvf,010173,32.879791139652184,-86.6229810686697
17,17,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,36904,22w@8f4-btp-x3q,011304,32.09369149618481,-88.22698556103813
18,18,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,36451,222@8f4-9yb-rhq,010091,31.694713347747076,-87.77690699364557
19,19,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,36545,223@8f4-9sv-49z,010128,31.531814028199918,-87.89503174865341
20,20,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,36784,22f@8f4-9gv-4d9,010174,31.87057244131046,-87.73708268262597
21,21,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,36251,236@8gk-vk3-t5f,010073,33.24349540301133,-85.84762372969551
22,22,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,36330,222@8gh-tq5-vj9,010049,31.319101639094367,-85.85433925423618
23,23,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,35660,222@5pn-6r3-wtv,010019,34.74679286888122,-87.69957375295847
24,24,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,35661,222@5pn-6qs-jsq,010157,34.74741797910699,-87.67561739637483
25,25,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,36401,222@8f4-2p6-mtv,010148,31.430700519880244,-86.94065849118006
26,26,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,36467,223@8gh-zhj-st9,010007,31.291442223044804,-86.25441305716468
27,27,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,222@8gj-26q-8jv,010036,31.296731668020488,-86.49508589861635
28,28,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,223@8gn-4m5-zj9,010008,31.693838992873278,-86.26510972658815
