lat,lon,hospital_pk,hospital_name,address,city,zip,hospital_subtype,fips_code
39.00005938,-1.858760613,976b4ce7c95e1cd394112ce7762ed040f18a141e56a52ef9d3e5775ed9e98e1e,Hospital Industrial C.F.S.E,Paseo Dr. Jose Celso Barbosa,San Juan,935,Short Term,0
45.51347,-122.53738,f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4,Elite Medical Center,150 E Harmon Ave,Las Vegas,89109,Short Term,0
26.14928,80.16601,ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,Alexandria Emergency Hospital,5900 Coliseum Blvd,Alexandria,71303,Short Term,0
-11.86863,-55.51785,df2363988746840134806aa7b2accf9c89259601776986d49f0c579f6d84532e,Hospital San Antonio,"#18 Norte, Calle Dr",Mayagüez,680,Short Term,0
32.46411,-86.45168,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,36067,Short Term,1001
19.03097,77.21702,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,36532,Short Term,1003
30.90364,-87.78466,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,36507,Short Term,1003
30.42579,-87.68442,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,36535,Short Term,1003
31.88871,-85.15617,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,36027,Short Term,1005
32.9512,-87.14804,10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,35042,Short Term,1007
33.93006,-86.49381,11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,35121,Critical Access Hospitals,1009
32.14649,-85.71658,10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,36089,Short Term,1011
34.15221,-85.67977,10150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,GREENVILLE,36037,Short Term,1013
33.20521,-87.52545,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,36207,Short Term,1015
33.66769,-85.82384,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,36201,Short Term,1015
33.65712,-85.81891,12011,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR",ANNISTON,36202,Long Term,1015
32.13265,-81.53687,10175,EAMC - LANIER,4800 48TH STREET,VALLEY,36854,Short Term,1017
34.16196,-85.65143,10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,35960,Short Term,1019
46.7999,-53.63143,10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,35045,Short Term,1021
24.45855,89.7106,11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,36904,Critical Access Hospitals,1023
31.53168,-87.89546,10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,36545,Short Term,1025
31.69423,-87.77625,10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,36451,Short Term,1025
35.1426,-90.03137,10174,THOMASVILLE REGIONAL MEDICAL CENTER,300 MED PARK DRIVE,THOMASVILLE,36784,Short Term,1025
33.27705,-85.82374,10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,36251,Short Term,1027
31.31874,-85.85515,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,36330,Short Term,1031
34.74688,-87.6763,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,35661,Short Term,1033
37.91938,-89.81139,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,35660,Short Term,1033
31.4307,-86.94067,10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,36401,Short Term,1035
31.29215,-86.25509,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,36467,Short Term,1039
31.29629,-86.49483,10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,Short Term,1039
31.69335,-86.26509,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,Short Term,1041
34.20098,-86.80505,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,35058,Short Term,1043
31.45182,-85.63109,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,36360,Short Term,1045
32.4295,-87.05588,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,36701,Short Term,1047
34.44091,-85.75603,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,35968,Short Term,1049
32.55211,-86.1862,10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,36092,Short Term,1051
32.5343,-85.91222,10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,36078,Short Term,1051
