FIPS,State,Name,Over65YearsPrc,AdObPrc,AdDibPrc,SmkPrc,ExcDrkPrc,DrOverdMrtRt
1,AL,Alabama,17.8,36,12,21,15,17
2,AK,Alaska,13.1,31,7,17,18,18
4,AZ,Arizona,18.5,32,10,16,17,28
5,AR,Arkansas,17.7,38,12,21,16,15
6,CA,California,15.2,26,9,10,19,17
8,CO,Colorado,15.1,24,7,14,20,21
9,CT,Connecticut,18.2,29,8,13,19,34
10,DE,Delaware,20,34,11,16,20,44
11,DC,District of Columbia,12.6,28,10,14,24,47
12,FL,Florida,21.3,26,9,15,20,27
13,GA,Georgia,14.7,33,11,17,18,15
15,HI,Hawaii,19.6,26,9,13,21,17
16,ID,Idaho,16.7,30,9,16,20,15
17,IL,Illinois,16.6,32,10,15,23,24
18,IN,Indiana,16.5,35,11,20,18,28
19,IA,Iowa,17.9,34,9,17,25,11
20,KS,Kansas,16.8,36,10,17,20,14
21,KY,Kentucky,17.2,36,12,25,18,36
22,LA,Louisiana,16.4,36,11,23,22,31
23,ME,Maine,21.8,31,9,19,22,30
24,MD,Maryland,16.3,32,10,13,16,41
25,MA,Massachusetts,17.4,25,7,12,22,33
26,MI,Michigan,18.2,36,10,20,20,26
27,MN,Minnesota,16.8,30,8,15,23,15
28,MS,Mississippi,16.9,41,13,21,16,14
29,MO,Missouri,17.7,35,9,20,19,28
30,MT,Montana,19.7,28,6,18,24,13
31,NE,Nebraska,16.5,34,9,15,23,9
32,NV,Nevada,16.5,31,10,15,20,23
33,NH,New Hampshire,19.3,32,8,17,21,31
34,NJ,New Jersey,17,26,10,13,16,32
35,NM,New Mexico,18.5,32,11,16,17,30
36,NY,New York,17.4,27,9,13,19,21
37,NC,North Carolina,17.1,34,11,19,17,24
38,ND,North Dakota,16.1,36,8,17,24,12
39,OH,Ohio,17.9,35,10,22,21,38
40,OK,Oklahoma,16.4,37,11,19,14,18
41,OR,Oregon,18.6,29,8,15,21,16
42,PA,Pennsylvania,19.1,33,9,18,20,36
44,RI,Rhode Island,18.2,30,9,14,22,32
45,SC,South Carolina,18.7,36,12,18,22,26
46,SD,South Dakota,17.6,33,9,19,24,8
47,TN,Tennessee,17.1,37,12,21,17,34
48,TX,Texas,13.2,34,12,15,20,12
49,UT,Utah,11.7,30,8,8,12,19
50,VT,Vermont,20.6,27,7,16,23,25
51,VA,Virginia,16.3,32,10,14,17,20
53,WA,Washington,16.2,28,9,13,16,18
54,WV,West Virginia,20.9,40,13,26,15,57
55,WI,Wisconsin,18,34,7,16,25,22
56,WY,Wyoming,17.8,30,7,18,20,14
