name,st_abbr,city,address,phone,testing_status,lon,lat
SOUTHERN REGION COMM HEALTH CTR,GU,Inarajan,162 Apman Dr,671-828-7501,Yes,144.7546017,13.28261339
NORTHERN REGION COMM HLTH CTR,GU,Dededo,520 W Santa Monica Ave,671-635-4422,Yes,144.8337078,13.52309457
Tinian Isla Community Health,MP,Tinian,520520 Canal Street,670-433-4750,Yes,145.628,15.02000555
KCHC - Kaman II Clinic,MP,Saipan,Lemmai Way,670-256-5248,Yes,145.7775797,15.17901624
Ofu Community Health Center,AS,Pago Pago,Ofu Community Health Center  PO Box 3965,684-655-1176,Yes,-170.747,-14.319
"Tau Community Health Center, Manua",AS,Pago Pago,PO BOX 3965,684-677-3513,Yes,-170.747,-14.319
TAFUNA FAMILY HEALTH CENTER,AS,Tafuna,Petesa Road,684-699-6380,Yes,-170.747,-14.319
Amouli Community Health Center,AS,Pago Pago,"Amouli Village, Department of Health",,Yes,-170.747,-14.319
ASCHC Mobile Medical Van (SUD/MH - Behavioral Health Services),AS,Pago Pago,3965 Petesa Road,684-699-6380,Yes,-170.747,-14.319
Leone Community Health Center,AS,Pago Pago,"Leone Village, Department of Health",,Yes,-170.747,-14.319
Ka'u Family Health and Dental Center,HI,Naalehu,95-5583 Mamalahoa Hwy,808-333-3600,Yes,-155.5830243,19.061233
WHCHC -- Kealakekua Keiki Health,HI,Kealakekua,81-6627 Mamalahoa Hwy Ste 106,808-323-8005,Yes,-155.9205189,19.51575414
WHCHC -- WIC Dental,HI,Kealakekua,81-980 Halekii St,808-322-4888,Yes,-155.921549,19.51852256
Kealakekua Adult Health,HI,Kealakekua,81-980 Halekii St Ste 107,808-326-5629,Yes,-155.921549,19.51852256
West Hawaii Community Health Center -- Kuakini,HI,Kailua Kona,75-5751 Kuakini Hwy Ste 101A,808-326-5629,Yes,-155.9905444,19.63857989
"West Hawaii Community Health Center, Inc. - - Kealakehe",HI,Kailua Kona,74-5214 Keanalehu Dr,808-355-5600,Yes,-155.9936247,19.66656312
Bay Clinic Mobile Health,HI,Pahoa,15-2866 Pahoa Village Rd,808-333-3600,Yes,-154.9488057,19.49510683
Pahoa Women and Children's Health Center,HI,Pahoa,15-2866 Pahoa Village Rd,808-333-3600,Yes,-154.9488057,19.49510683
Pahoa Family Health Center,HI,Pahoa,15-2866 Pahoa Village Rd,808-333-3600,Yes,-154.9488057,19.49510683
Kea'au Family Health and Dental Center,HI,Keaau,16-192 Pili Mua St,808-333-3600,Yes,-155.0396232,19.62037257
Hilo Women's Health Center,HI,Hilo,73 Puuhonu Pl,808-333-3600,Yes,-155.0975252,19.71641355
Hilo Family Health Center,HI,Hilo,1178 Kinoole St,808-333-3600,Yes,-155.079524,19.71030432
Hilo Family Dental Center,HI,Hilo,1257 Kilauea Ave Ste 100,808-333-3600,Yes,-155.0764828,19.71061001
Primary Care Clinic,HI,Hilo,45 Mohouli St,808-935-8484,No,-155.078276,19.71301586
WHCHC Waikoloa Dental,HI,Waikoloa,68-1845 Waikoloa Rd Ste 205,808-769-5160,Yes,-155.7875856,19.92684718
