FIPS,State,County,PovChldPrc,PovChldQ,IncInq80,IncInq20,IncRtio,IncInqQ,UninPrc,UninQ,PrmPhysCt,PrmPhysRt,PrmPhysQ,PrevHospRt,PrevHospQ
01000,Alabama,,23.9,,99688,18948,5.26113574,,11.04478259,,3160,64.82388,,5805,
01001,Alabama,Autauga,19.3,1,110026,21019,5.234597269,3,8.721685951,1,25,45.0418,2,7108,4
01003,Alabama,Baldwin,13.9,1,111447,25227,4.417766679,1,11.33340447,2,155,72.89727,1,4041,1
01005,Alabama,Barbour,43.9,4,76557,13475,5.681410019,4,12.24279246,3,8,31.65809,3,6209,3
01007,Alabama,Bibb,27.8,2,87957,20134,4.368580511,1,10.20625259,1,11,48.52656,2,5961,2
01009,Alabama,Blount,18,1,91702,20699,4.430262332,1,13.36075949,4,13,22.40877,4,4060,1
01011,Alabama,Bullock,68.3,4,69189,9337,7.410195994,4,11.44037612,2,3,29.10079,4,6632,4
01013,Alabama,Butler,36.3,4,80036,14757,5.423595582,3,11.18600954,2,5,25.22068,4,9203,4
01015,Alabama,Calhoun,26.5,2,90822,18078,5.023896449,2,11.92916752,3,73,63.62876,1,6581,3
01017,Alabama,Chambers,30.7,3,80754,17019,4.744932135,2,11.93807681,3,14,41.52701,2,5622,2
01019,Alabama,Cherokee,24.7,2,81932,17401,4.708465031,1,11.17264992,2,10,38.67425,3,5521,2
01021,Alabama,Chilton,23.3,2,90324,17684,5.107667948,3,13.75970587,4,9,20.42345,4,6148,3
01023,Alabama,Choctaw,32.1,4,84485,14417,5.86009572,4,11.34207871,2,5,38.62495,3,4968,1
01025,Alabama,Clarke,31.7,4,85325,10075,8.46898263,4,11.92636629,3,13,53.97999,1,6299,3
01027,Alabama,Clay,25.8,2,86322,16995,5.079258606,3,13.88333809,4,5,37.40555,3,5249,2
01029,Alabama,Cleburne,22.9,2,79176,16579,4.775680077,2,13.34452371,4,4,26.84564,4,6416,3
01031,Alabama,Coffee,21.9,1,104459,22422,4.658772634,1,11.99236659,3,28,53.97694,2,4863,1
01033,Alabama,Colbert,21,1,88336,18565,4.758200916,2,9.683862525,1,35,64.22018,1,6414,3
01035,Alabama,Conecuh,40.1,4,63947,14363,4.452203579,1,12.03345531,3,5,40.09945,3,12070,4
01037,Alabama,Coosa,30.1,3,79721,17978,4.434364223,1,13.02620142,4,,,2,4956,1
01039,Alabama,Covington,29.5,3,84143,17115,4.916330704,2,12.10361769,3,19,51.22398,2,9181,4
01041,Alabama,Crenshaw,30.8,3,82870,15094,5.490261031,3,12.26752504,3,2,14.41857,4,7057,4
01043,Alabama,Cullman,19.7,1,86556,19514,4.435584708,1,12.65824677,3,46,55.58577,1,6442,3
01045,Alabama,Dale,24.4,2,89227,17623,5.063099359,3,9.698863918,1,9,18.28302,4,5120,1
01047,Alabama,Dallas,48,4,73852,12189,6.058905571,4,10.37240769,1,29,73.95129,1,7183,4
01049,Alabama,DeKalb,29.6,3,78879,16455,4.793618961,2,17.31903394,4,30,41.8895,2,5868,2
01051,Alabama,Elmore,16.3,1,108702,24801,4.382968429,1,8.655716447,1,21,25.71103,4,6334,3
01053,Alabama,Escambia,32.8,4,73248,13274,5.518155793,3,14.42834487,4,13,34.71573,3,7412,4
01055,Alabama,Etowah,28.8,2,88317,18745,4.711496399,1,12.46599573,3,83,80.77466,1,7421,4
01057,Alabama,Fayette,37.4,4,76052,15425,4.930437601,2,11.45995637,2,16,97.15812,1,5911,2
01059,Alabama,Franklin,30.1,3,80837,18366,4.401448328,1,15.3034504,4,14,44.4515,2,8122,4
01061,Alabama,Geneva,29.5,3,78554,15768,4.981861999,2,14.07272901,4,8,30.27894,4,6845,4
01063,Alabama,Greene,44,4,54552,9281,5.877814891,4,11.44634526,2,4,48.01921,2,7121,4
01065,Alabama,Hale,35.6,4,72247,11356,6.362011272,4,10.56016246,1,3,20.25385,4,6986,4
01067,Alabama,Henry,27.2,2,92359,18855,4.898382392,2,12.18773656,3,5,29.15962,4,4872,1
01069,Alabama,Houston,21.9,1,95176,18511,5.141591486,3,11.0702235,2,88,84.33481,1,4859,1
01071,Alabama,Jackson,26.8,2,78124,15499,5.040583263,2,13.05094171,4,28,53.94055,2,5903,2
01073,Alabama,Jefferson,22.6,1,107340,20100,5.340298508,3,10.04948485,1,709,107.5551,1,4653,1
01075,Alabama,Lamar,25.3,2,75451,14943,5.049253831,2,11.53169829,2,,,2,5184,1
01077,Alabama,Lauderdale,17.9,1,89714,19834,4.523242916,1,11.28515877,2,47,50.78995,2,5323,2
01079,Alabama,Lawrence,31.4,3,94296,19238,4.901549018,2,14.02862986,4,5,15.12905,4,7507,4
01081,Alabama,Lee,19.3,1,103546,16341,6.336576709,4,10.35018499,1,85,52.59771,2,4208,1
01083,Alabama,Limestone,15.8,1,111527,21752,5.127206694,3,11.01404217,2,32,33.89759,3,5987,3
01085,Alabama,Lowndes,39.6,4,76397,11793,6.478165013,4,10.82283173,2,1,9.92457,4,5247,2
01087,Alabama,Macon,39.7,4,74309,11007,6.751067503,4,10.55468224,1,7,37.32338,3,5948,2
01089,Alabama,Madison,16.9,1,130336,24871,5.240480881,3,9.439347131,1,319,88.35439,1,5439,2
01091,Alabama,Marengo,34.5,4,77137,10307,7.483942951,4,9.797428905,1,7,36.12903,3,4803,1
01093,Alabama,Marion,27.4,2,74517,15563,4.78808713,2,11.40808344,2,10,33.51993,3,8236,4
01095,Alabama,Marshall,27.9,2,90033,18310,4.917149099,2,15.64357699,4,53,55.4695,1,6189,3
01097,Alabama,Mobile,31.4,3,95084,18037,5.271608361,3,11.71989015,3,278,67.15706,1,6431,3
01099,Alabama,Monroe,31.6,3,75904,9034,8.40203675,4,12.7897351,4,8,37.51114,3,5990,3
01101,Alabama,Montgomery,31.3,3,100500,18312,5.488204456,3,11.00542222,2,221,97.50889,1,6020,3
01103,Alabama,Morgan,20.1,1,96011,20893,4.595366869,1,11.56025222,3,58,48.81415,2,6098,3
01105,Alabama,Perry,52.8,4,48123,10207,4.714705594,1,11.48098831,2,3,32.12335,3,5342,2
01107,Alabama,Pickens,30.8,3,81049,13921,5.82206738,4,11.60720353,3,8,39.65107,3,6592,4
01109,Alabama,Pike,30.6,3,83247,11972,6.953474775,4,12.91665076,4,16,48.09571,2,5568,2
01111,Alabama,Randolph,31.4,3,76728,15073,5.090426591,3,13.22766246,4,7,30.87781,4,3494,1
01113,Alabama,Russell,31.6,3,82735,15915,5.198554823,3,11.30465401,2,15,26.29503,4,5042,1
01115,Alabama,St. Clair,15,1,98954,23476,4.215113307,1,10.04106833,1,15,17.007,4,6284,3
01117,Alabama,Shelby,8.9,1,136513,32658,4.180078388,1,7.859134052,1,172,80.52246,1,5125,1
01119,Alabama,Sumter,48.1,4,63685,8423,7.560845305,4,11.36221621,2,7,55.17459,1,5643,2
01121,Alabama,Talladega,26.4,2,82924,16556,5.008697753,2,10.30204108,1,25,31.22463,3,5467,2
01123,Alabama,Tallapoosa,30.7,3,87176,15691,5.555796316,4,11.90483693,3,20,49.163,2,4305,1
01125,Alabama,Tuscaloosa,20.9,1,103302,20589,5.017339356,2,9.308683081,1,150,72.18097,1,5853,2
01127,Alabama,Walker,24.7,2,85878,17005,5.050161717,3,11.67076647,3,26,40.58822,3,6561,3
01129,Alabama,Washington,25.8,2,81850,16211,5.049040775,2,13.90946502,4,3,18.14772,4,5311,2
01131,Alabama,Wilcox,50.6,4,61357,10647,5.762843994,4,10.51888458,1,4,37.31691,3,4464,1
01133,Alabama,Winston,27.6,2,75474,17336,4.353599446,1,12.77275435,4,10,42.15496,2,13447,4
02000,Alaska,,14.5,,140179,34114,4.10913408,,14.75762792,,673,90.97115,,2904,
02013,Alaska,Aleutians East,12.5,,121429,28625,4.242061135,,27.86085826,,,,,,
02016,Alaska,Aleutians West,8.1,1,143818,47720,3.013788768,1,20.23488641,3,2,34.70415,4,,3
02020,Alaska,Anchorage,12.1,2,152394,39712,3.837479855,1,12.74142058,1,325,110.41052,2,2794,2
02050,Alaska,Bethel,41.2,4,113920,20083,5.672459294,4,19.77842354,3,18,99.57955,3,2625,1
02060,Alaska,Bristol Bay,15.2,,146167,37636,3.883701775,,17.4386921,,0,0,,1567,
02068,Alaska,Denali,7.3,1,127800,40594,3.14824851,1,13.9561058,1,,,2,,3
02070,Alaska,Dillingham,31.6,4,109896,23571,4.662339315,4,17.43098842,2,13,263.58475,1,5919,4
02090,Alaska,Fairbanks North Star,9.4,1,137048,37297,3.674504652,1,13.23840093,1,78,78.23235,3,2113,1
02100,Alaska,Haines,16.4,3,122238,29793,4.10291008,2,17.98488665,2,7,277.11797,1,695,1
02105,Alaska,Hoonah-Angoon,27.6,4,110083,29769,3.697907219,1,22.85542891,4,,,2,,3
02110,Alaska,Juneau,8.5,1,150011,44457,3.374294262,1,13.36833603,1,41,127.74974,1,2863,2
02122,Alaska,Kenai Peninsula,14.5,2,125818,26616,4.727156598,4,16.04337289,2,46,78.47553,3,,3
02130,Alaska,Ketchikan Gateway,12.5,2,128217,30429,4.213644878,2,17.18642316,2,14,101.03926,3,2937,2
02150,Alaska,Kodiak Island,9.9,2,124324,32306,3.848325389,2,18.41440835,3,17,126.41285,1,2886,2
02158,Alaska,Kusilvak,47.4,4,69323,16266,4.261834501,3,17.65085095,2,,,2,2177,1
02164,Alaska,Lake and Peninsula,23.7,3,85313,20833,4.095089521,2,25.34626039,4,0,0,4,,3
02170,Alaska,Matanuska-Susitna,11.8,2,136778,30563,4.475280568,3,14.84915792,1,48,45.05688,4,2854,2
02180,Alaska,Nome,26.9,3,108828,25644,4.243799719,2,21.20708749,4,9,90.71666,3,8308,4
02185,Alaska,North Slope,15.2,3,142280,33267,4.276911053,3,17.80867263,2,3,30.66857,4,,3
02188,Alaska,Northwest Arctic,27.7,4,131786,24830,5.307531212,4,24.10474168,4,4,52.05622,4,,3
02195,Alaska,Petersburg,9.5,1,126111,28986,4.350755537,3,18.73123123,3,6,182.87108,1,,3
02198,Alaska,Prince of Wales-Hyder,23.4,3,102284,23725,4.311232877,3,23.17660126,4,5,77.6036,3,,3
02220,Alaska,Sitka,8.8,1,124016,32290,3.840693713,2,18.27765608,3,17,195.64967,1,2940,2
02230,Alaska,Skagway,8.9,,122188,45577,2.680913619,,14.08308004,,0,0,,2297,
