state_name,number of county,percentage
California,21,36.21%
Florida,16,23.88%
Texas,13,5.12%
New Jersey,13,61.90%
New York,9,14.52%
Minnesota,9,10.34%
Wisconsin,8,11.11%
Illinois,8,7.84%
Maryland,8,33.33%
Michigan,7,8.43%
Pennsylvania,6,8.96%
Arizona,6,40.00%
Massachusetts,6,42.86%
Georgia,5,3.14%
Colorado,5,7.81%
Ohio,4,4.55%
Virginia,4,3.01%
Connecticut,3,37.50%
Utah,3,10.34%
Missouri,2,1.74%
Kansas,1,0.95%
Indiana,1,1.09%
Nevada,1,5.88%
New Hampshire,1,10.00%
New Mexico,1,3.03%
District of Columbia,1,100.00%
North Carolina,1,1.00%
Rhode Island,1,20.00%
